elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
1000,24.1,32,55,23,6,0,0,1,1,1,0
804,17.6,14,69,6,5,0,0,0,0,0,0
1871,13.3,329,34,13,4,0,0,1,1,1,0
19.8,11.6,62,55,11,11.6,0,0,0,0,0,0
35.2,24.2,53,35,2,24,0,0,0,0,1,0
2154,4.3,132,69,15,4,0,0,1,0,0,0
28.9,8.7,40,72,24,20.8,0,0,0,0,0,0
21.7,18.8,51,59,33,8.6,0,0,0,0,0,0
23.8,16.7,53,74,34,41.8,0,0,0,1,1,0
1137,24.9,399,45,25,2,0,0,0,0,0,0
43,10.1,61,57,12,18.9,0,0,0,0,1,0
15.2,3.8,30,71,15,28,0,0,0,0,0,0
582,7.6,311,68,11,2,0,0,1,0,0,1
30.6,3.7,64,77,14,29.8,0,0,0,0,0,0
449,18.1,11,33,21,1,0,0,0,0,1,1
20,12.3,68,41,27,24,0,0,0,1,0,0
24.9,17,46,46,21,11.7,0,0,0,0,0,0
2348,22.5,404,37,13,6,0,0,0,0,0,0
469,1.7,152,62,23,2,0,0,1,1,0,0
41.7,8,85,61,40,34,0,0,1,1,0,0
472,14.9,23,47,27,1,0,0,0,0,1,1
44.9,1.8,85,60,2,11.6,0,0,0,1,0,0
41.5,4,40,56,36,33.1,0,0,1,0,0,0
32.6,10.3,47,69,33,8.8,0,0,0,1,0,0
42.7,9.1,64,48,3,9.8,0,0,0,1,1,0
910,13.5,127,53,10,1,0,0,1,1,0,0
1149,9.3,1,60,37,5,0,0,0,0,1,0
30,15.5,40,52,37,16.6,0,0,1,0,0,0
21.5,6,57,66,34,44,0,0,1,0,0,0
2145,23.9,2,39,4,4,0,0,0,0,0,1
972,5.4,117,33,11,2,0,0,0,0,1,0
50,11.3,70,31,11,28.2,0,0,1,0,0,0
20.8,5.6,30,73,21,18.9,0,0,0,0,0,0
33.8,16.7,37,68,8,16,0,0,0,0,0,0
20,9.2,40,79,31,13.7,0,0,1,0,0,0
50,19.6,30,47,28,40,0,0,0,0,0,0
28,0.4,95,59,1,13.3,0,0,1,1,0,0
2285,23.8,1257,48,22,6,0,0,0,0,0,0
26,15.5,73,76,13,13,0,0,0,0,0,0
2292,18.5,184,66,23,4,0,0,1,1,1,0
17.1,23.8,39,39,3,8.8,0,0,0,0,0,0
20,22.5,77,49,10,19.4,0,0,0,0,0,0
42.6,12,70,49,36,14.7,0,0,1,1,0,0
40.7,5.5,65,45,9,52.9,0,0,0,0,1,0
36.4,4.3,88,58,15,14.3,0,0,0,0,0,0
31.9,5,81,53,26,22.4,0,0,0,1,1,0
838,22,469,38,2,6,0,0,0,0,0,0
12.4,5,30,74,11,17.4,0,0,0,1,0,0
39.5,4.7,40,38,26,19.4,0,0,0,1,0,0
2066,17.4,58,66,30,6,0,0,1,0,0,0
20,0.2,94,62,13,22.6,0,0,0,0,0,0
1148,15,326,61,2,6,0,0,1,1,1,0
36.8,15.5,51,59,33,29.3,0,0,0,0,0,0
836,5.9,107,61,11,2,0,0,1,1,0,0
50,7.1,68,62,35,30.4,0,0,1,0,0,0
23.7,6.6,30,72,36,22.3,0,0,0,1,0,0
1735,4.1,130,62,39,6,0,0,1,0,0,0
46.2,18.4,53,70,8,16,0,0,1,1,0,0
1315,11.6,211,52,14,4,0,0,0,0,0,0
21.9,3.3,81,70,16,8.7,0,0,0,0,0,0
43.5,0.3,95,59,27,7.1,0,0,0,0,0,0
31.6,2,62,57,3,16.1,0,0,0,0,0,0
45.4,3,95,42,23,12.8,0,0,0,1,0,0
29.8,11.8,66,51,32,17.8,0,0,0,0,0,0
25.3,2.7,30,62,8,23.1,0,0,1,1,0,0
48.1,12,87,63,14,10.1,0,0,0,1,0,0
35.5,8.2,95,78,18,12.8,0,0,0,0,0,0
972,3.8,73,58,3,2,0,0,1,1,0,0
23.5,14.7,40,79,7,7.5,0,0,0,0,0,0
27.1,20.2,81,55,31,9.6,0,0,0,0,0,0
