编号,发生时间,区域,elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,最大小时雨�?mm/h),rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
1,2022/7/15,灞桥区白鹿塬,1000,14,32,80,53,5,18.9,1,0,1,1,1,0
2,2011/10/28,长安区太乙宫,1259,33.7,284,40,59,2,23.1,0,1,1,1,1,0
3,2021/8/23,高陵区耿镇,804,19.2,14,30,99,1,24.6,1,0,0,0,0,0
4,2021/9/7,鄠邑区甘�?1575,41.6,112,40,37,57,1,0,0,1,1,1,0,
5,2017/10/14,长安区沣�?1816,37.1,265,84,21,100,5,0,1,1,0,0,0,
6,2018/6/7,周至县广�?1952,39.7,392,95,22,90,1,0,0,1,0,0,0,
7,2017/10/12,蓝田县九间房,1871,46.8,329,65,83,2,10.5,3,0,1,1,1,0
8,2012/11/1,灞桥区洪�?802,19.8,222,62,18,92,1,1,0,0,0,0,0,
9,2022/7/15,临潼区代�?335,35.2,859,53,24,92,5,0,0,0,0,0,1,
10,2021/8/12,周至县板房子,2154,28.8,132,80,59,6,36.4,3,0,1,0,0,0
11,2020/6/9,周至县王家河,2048,32.3,859,53,82,3,8.6,0,1,1,1,1,0
12,2013/11/12,蓝田县汤�?2209,28.9,1500,40,27,91,1,2,1,0,0,0,0,
13,2010/7/19,灞桥区洪�?352,21.7,83,51,27,93,4,1,0,0,0,0,0,
14,2020/9/16,临潼区零�?500,23.8,116,53,46,95,5,1,1,0,0,1,1,
15,2010/6/8,周至县厚畛子,1137,38.9,399,80,80,5,12.9,3,0,0,0,0,0
16,2018/6/20,鄠邑区玉�?801,43,63,61,35,79,6,5,0,0,0,0,1,
17,2010/7/24,未央区谭�?924,21.5,2,30,24,98,3,1,0,1,1,0,1,
18,2014/7/16,灞桥区狄�?691,15.2,568,30,14,96,1,1,1,0,0,0,0,
19,2022/11/19,未央区六村堡,582,10.3,311,30,99,6,8.2,1,0,1,0,0,1
20,2021/4/28,周至县板房子,1869,38.2,739,40,52,1,25.9,0,1,1,1,1,0
21,2016/7/1,蓝田县九间房,927,41.2,140,95,80,1,13.7,3,1,0,0,1,0
22,2020/7/10,未央区六村堡,403,14.6,358,30,75,6,17,1,1,1,1,1,0
23,2019/10/7,鄠邑区玉�?1484,30.6,653,64,85,82,2,3,0,0,0,0,0,
24,2019/7/31,高陵区通远,449,17.9,11,55,88,5,30,4,0,0,0,1,1
25,2013/8/6,长安区沣�?1683,40.4,159,40,41,87,6,0,1,1,1,1,0,
