编号,发生时间,区域,elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,最大小时雨强(mm/h),rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
1,2022/7/15,灞桥区白鹿塬,1000,14,32,80,17,1.8,18.9,1,0,1,1,1,0
2,2011/10/28,长安区太乙宫,1259,33.7,284,40,45,3.9,23.1,0,1,1,1,1,0
3,2021/8/23,高陵区耿镇,804,19.2,14,30,16,1.3,24.6,1,0,0,0,0,0
4,2021/9/7,鄠邑区甘河,1575,41.6,112,40,37,6.3,11.7,0,0,1,1,1,0
5,2017/10/14,长安区沣峪,1816,37.1,265,84,21,1.1,38.2,0,1,1,0,0,0
6,2018/6/7,周至县广济,1952,39.7,392,95,22,1.8,24.4,0,0,1,0,0,0
7,2017/10/12,蓝田县九间房,1871,46.8,329,65,20,3.8,10.5,3,0,1,1,1,0
8,2012/11/1,灞桥区洪庆,802,19.8,222,62,18,3.1,11.6,1,0,0,0,0,0
9,2022/7/15,临潼区代王,335,35.2,859,53,24,2,24,0,0,0,0,0,1
10,2021/8/12,周至县板房子,2154,28.8,132,80,20,1.1,36.4,3,0,1,0,0,0
11,2020/6/9,周至县王家河,2048,32.3,859,53,21,4.9,8.6,0,1,1,1,1,0
12,2013/11/12,蓝田县汤峪,2209,28.9,1500,40,27,2.6,20.8,2,1,0,0,0,0
13,2010/7/19,灞桥区洪庆,352,21.7,83,51,27,6.3,8.6,1,0,0,0,0,0
14,2020/9/16,临潼区零口,500,23.8,116,53,46,2.2,41.8,1,1,0,0,1,1
15,2010/6/8,周至县厚畛子,1137,38.9,399,80,20,3.1,12.9,3,0,0,0,0,0
16,2018/6/20,鄠邑区玉蝉,801,43,63,61,35,3.7,18.9,5,0,0,0,0,1
17,2010/7/24,未央区谭家,924,21.5,2,30,24,3.7,13,1,0,1,1,0,1
18,2014/7/16,灞桥区狄寨,691,15.2,568,30,14,1,28,1,1,0,0,0,0
19,2022/11/19,未央区六村堡,582,10.3,311,30,25,6.1,8.2,1,0,1,0,0,1
20,2021/4/28,周至县板房子,1869,38.2,739,40,48,3.7,25.9,0,1,1,1,1,0
21,2016/7/1,蓝田县九间房,927,41.2,140,95,28,4.1,13.7,3,1,0,0,1,0
22,2020/7/10,未央区六村堡,403,14.6,358,30,23,2.7,17,1,1,1,1,1,0
23,2019/10/7,鄠邑区玉蝉,1484,30.6,653,64,85,5.7,29.8,3,0,0,0,0,0
24,2019/7/31,高陵区通远,449,17.9,11,55,18,1.2,30,4,0,0,0,1,1
25,2013/8/6,长安区沣峪,1683,40.4,159,40,41,1.9,43.2,0,1,1,1,1,0
26,2019/9/5,长安区小峪,1590,20,168,68,36,3,24,0,0,0,0,1,0
27,2022/6/21,鄠邑区玉蝉,2012,33.4,402,95,55,11.8,9.3,3,1,1,0,0,0
28,2023/2/28,长安区子午峪,1808,29.3,112,50,57,4.7,24.3,3,1,1,1,1,0
29,2012/2/26,鄠邑区蒋村,1815,39.2,322,40,34,1.1,61.8,0,1,1,0,1,0
30,2010/9/29,鄠邑区涝峪,2436,45.2,295,88,56,4,28,5,1,1,1,0,0
31,2011/4/3,蓝田县汤峪,889,24.9,115,46,51,8.7,11.7,0,1,0,0,0,0
32,2014/9/29,蓝田县玉川,2217,37.5,165,95,77,10.3,15,3,1,1,0,0,0
33,2014/10/12,周至县厚畛子,2348,22.8,404,59,20,1,40,5,0,0,0,0,0
34,2013/5/12,阎良区新兴,375,15.8,132,37,31,11.2,5.5,4,0,1,1,1,1
35,2014/7/23,临潼区骊山,338,34.9,18,30,31,4.5,13.8,2,1,1,1,0,0
36,2016/5/14,灞桥区白鹿塬,469,26.8,152,30,18,2.4,15,1,0,1,1,0,0
37,2022/10/4,周至县马召,2075,20,710,87,33,2.8,23.6,3,0,1,1,0,0
38,2021/5/8,长安区沣峪,2184,41.7,81,85,34,2,34,3,1,0,1,1,0
39,2019/8/12,高陵区通远,472,21.1,23,38,25,1.9,26.3,4,0,0,0,1,1
40,2015/8/3,雁塔区曲江,311,29.3,956,45,24,1.3,36.9,0,1,1,1,0,0
41,2021/7/18,蓝田县玉川,1668,37.7,111,83,48,11.6,8.3,2,1,1,1,1,0
42,2017/8/30,未央区谭家,304,19.6,499,30,13,1.2,21.7,1,0,1,0,1,0
43,2010/7/21,长安区沣峪,1317,44.9,353,85,37,6.4,11.6,0,0,0,0,1,0
44,2014/7/14,蓝田县玉川,800,41.5,924,40,43,2.6,33.1,2,1,0,1,0,0
45,2011/9/22,临潼区骊山,605,32.6,574,47,46,10.5,8.8,0,0,0,0,1,0
46,2012/9/7,长安区小峪,1563,35.4,304,95,40,11.2,7.1,2,0,1,1,0,0
47,2021/8/30,鄠邑区蒋村,2386,42.7,184,64,20,4.1,9.8,0,0,0,0,1,1
48,2020/7/16,蓝田县九间房,910,26.2,127,79,20,2.7,14.8,3,0,1,1,0,0
49,2012/6/21,长安区蒿沟,1403,33.1,239,78,20,1,40,3,1,1,1,0,0
50,2018/5/22,长安区子午峪,1149,32,1,88,36,3.7,19.5,2,0,0,0,1,0
51,2017/8/22,蓝田县玉川,827,30,413,40,44,5.3,16.6,5,1,0,1,0,0
52,2021/8/13,未央区谭家,314,21.5,60,57,22,1,44,1,1,0,1,0,0
53,2011/9/15,鄠邑区祖庵,2293,31.9,265,78,73,16.9,8.6,3,0,1,1,1,1
54,2017/8/27,高陵区鹿苑,676,13.5,81,33,20,1.2,33.3,1,1,1,1,0,1
55,2013/7/24,长安区太乙宫,2145,41.4,2,73,50,7,14.3,3,0,0,0,0,1
56,2020/9/8,周至县王家河,972,29.7,117,78,26,2.2,23.6,3,0,0,0,1,0
57,2015/8/5,鄠邑区甘河,2334,50,16,70,55,3.9,28.2,4,1,0,1,0,0
58,2014/7/9,临潼区骊山,849,20.8,796,30,35,3.7,18.9,2,1,0,0,0,0
59,2022/8/8,临潼区斜口,528,33.8,68,37,20,2.5,16,1,1,0,0,0,0
60,2018/10/18,临潼区骊山,594,39.4,294,30,20,3,13.3,2,0,1,0,0,0
