缂栧彿,鍙戠敓鏃堕棿,鍖哄煙,elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,鏈€澶у皬鏃堕洦寮?mm/h),rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
3,2021/8/23,高陵区耿镇,804,19.2,14,30,21,1.2,24.6,1,0,0,0,0,0
5,2017/10/14,长安区沣峪,1816,37.1,265,84,32,0.8,38.2,0,1,1,0,0,0
6,2018/6/7,周至县广济,1952,39.7,392,95,31,0.6,24.4,0,0,1,0,0,0
8,2012/11/1,灞桥区洪庆,802,19.8,222,62,27,0.8,11.6,1,0,0,0,0,0
9,2022/7/15,临潼区代王,335,35.2,859,53,5,1,24,0,0,0,0,0,1
10,2021/8/12,周至县板房子,2154,28.8,132,80,40,1.1,36.4,3,0,1,0,0,0
12,2013/11/12,蓝田县汤峪,2209,28.9,1500,40,26,1.1,20.8,2,1,0,0,0,0
13,2010/7/19,灞桥区洪庆,352,21.7,83,51,7,1,8.6,1,0,0,0,0,0
15,2010/6/8,周至县厚畛子,1137,38.9,399,80,12,0.8,12.9,3,0,0,0,0,0
16,2018/6/20,鄠邑区玉蝉,801,43,63,61,1,0.7,18.9,5,0,0,0,0,1
17,2010/7/24,未央区谭家,924,21.5,2,30,35,1.1,13,1,0,1,1,0,1
18,2014/7/16,灞桥区狄寨,691,15.2,568,30,12,1.2,28,1,1,0,0,0,0
19,2022/11/19,未央区六村堡,582,10.3,311,30,22,0.7,8.2,1,0,1,0,0,1
23,2019/10/7,鄠邑区玉蝉,1484,30.6,653,64,12,1.1,29.8,3,0,0,0,0,0
27,2022/6/21,鄠邑区玉蝉,2012,33.4,402,95,28,1.1,9.3,3,1,1,0,0,0
30,2010/9/29,鄠邑区涝峪,2436,45.2,295,88,10,1.1,28,5,1,1,1,0,0
31,2011/4/3,蓝田县汤峪,889,24.9,115,46,9,0.8,11.7,0,1,0,0,0,0
32,2014/9/29,蓝田县玉川,2217,37.5,165,95,16,0.9,15,3,1,1,0,0,0
33,2014/10/12,周至县厚畛子,2348,22.8,404,59,8,1,40,5,0,0,0,0,0
35,2014/7/23,临潼区骊山,338,34.9,18,30,24,1.1,13.8,2,1,1,1,0,0
36,2016/5/14,灞桥区白鹿塬,469,26.8,152,30,34,0.9,15,1,0,1,1,0,0
37,2022/10/4,周至县马召,2075,20,710,87,37,1.1,23.6,3,0,1,1,0,0
40,2015/8/3,雁塔区曲江,311,29.3,956,45,36,0.6,36.9,0,1,1,1,0,0
44,2014/7/14,蓝田县玉川,800,41.5,924,40,25,0.9,33.1,2,1,0,1,0,0
46,2012/9/7,长安区小峪,1563,35.4,304,95,17,0.8,7.1,2,0,1,1,0,0
48,2020/7/16,蓝田县九间房,910,26.2,127,79,21,0.8,14.8,3,0,1,1,0,0
49,2012/6/21,长安区蒿沟,1403,33.1,239,78,25,0.8,40,3,1,1,1,0,0
51,2017/8/22,蓝田县玉川,827,30,413,40,34,1,16.6,5,1,0,1,0,0
52,2021/8/13,未央区谭家,314,21.5,60,57,37,1.1,44,1,1,0,1,0,0
54,2017/8/27,高陵区鹿苑,676,13.5,81,33,32,0.8,33.3,1,1,1,1,0,1
55,2013/7/24,长安区太乙宫,2145,41.4,2,73,10,1.1,14.3,3,0,0,0,0,1
57,2015/8/5,鄠邑区甘河,2334,50,16,70,0,0.6,28.2,4,1,0,1,0,0
58,2014/7/9,临潼区骊山,849,20.8,796,30,14,0.7,18.9,2,1,0,0,0,0
59,2022/8/8,临潼区斜口,528,33.8,68,37,17,0.8,16,1,1,0,0,0,0
